time,,,MPC,RL,RL_opal_RT
6.3,0.00049985,0.000134468,499.85,134.4680786,1.10E+02
6.32,0.00049964,0.000124454,499.64,124.4544983,1.10E+02
6.34,0.00050069,0.000126123,500.69,126.1234283,1.10E+02
6.36,0.0005016,0.000124931,501.6,124.9313354,1.10E+02
6.38,0.000506,0.000137806,506,137.8059387,1.10E+02
6.4,0.00050062,0.000118017,500.62,118.0171967,1.10E+02
6.42,0.00050013,0.000132799,500.13,132.7991486,1.10E+02
6.44,0.00050034,0.000127077,500.34,127.0771027,1.10E+02
6.46,0.00050139,0.000132799,501.39,132.7991486,1.10E+02
6.48,0.00050041,0.000146866,500.41,146.8658447,1.10E+02
6.5,0.00050034,0.0001297,500.34,129.699707,1.10E+02
6.52,0.00050055,0.00013423,500.55,134.22966,1.10E+02
6.54,0.00049957,0.000149488,499.57,149.4884491,1.10E+02
6.56,0.00049992,0.000153542,499.92,153.5415649,1.10E+02
6.58,0.00050006,0.000157833,500.06,157.8330994,1.10E+02
6.6,0.0005002,0.000124693,500.2,124.6929169,1.10E+02
6.62,0.00050006,0.000141144,500.06,141.1437988,1.10E+02
6.64,0.00050132,0.000159502,501.32,159.5020294,1.10E+02
6.66,0.00049964,0.000129938,499.64,129.9381256,1.10E+02
6.68,0.00049964,0.000117779,499.64,117.7787781,1.10E+02
6.7,0.00050139,0.000139952,501.39,139.9517059,1.10E+02
6.72,0.00050076,0.000122309,500.76,122.3087311,1.10E+02
6.74,0.00050104,0.000148535,501.04,148.5347748,1.10E+02
6.76,0.00050118,0.000112057,501.18,112.0567322,1.10E+02
6.78,0.00049999,0.000123978,499.99,123.9776611,1.10E+02
6.8,0.00049985,0.000121355,499.85,121.3550568,1.10E+02
6.82,0.0005002,0.000139236,500.2,139.2364502,1.10E+02
6.84,0.00050062,0.000149488,500.62,149.4884491,1.10E+02
6.86,0.0005009,0.000143528,500.9,143.5279846,1.10E+02
6.88,0.00049944,0.000138521,499.44,138.5211945,1.10E+02
6.9,0.00050488,0.000154018,504.88,154.0184021,1.10E+02
6.92,0.00050041,0.00014329,500.41,143.289566,1.10E+02
6.94,0.00049881,0.000148535,498.81,148.5347748,1.10E+02
6.96,0.00049971,0.000138044,499.71,138.0443573,1.10E+02
6.98,0.00050083,0.000141382,500.83,141.3822174,1.10E+02
7,0.00050677,0.000127077,506.77,127.0771027,1.10E+02
7.02,0.00049909,0.000127554,499.09,127.5539398,1.10E+02
7.04,0.00049825,0.000126839,498.25,126.8386841,1.10E+02
7.06,0.00049895,0.000153065,498.95,153.0647278,1.10E+02
7.08,0.00049922,0.00012517,499.22,125.169754,1.10E+02
7.1,0.00050607,0.000113249,506.07,113.2488251,1.10E+02
7.12,0.00050034,0.000119925,500.34,119.9245453,1.10E+02
7.14,0.00050167,0.000110865,501.67,110.8646393,1.10E+02
7.16,0.00050153,0.000123024,501.53,123.0239868,1.10E+02
7.18,0.00050111,0.000119925,501.11,119.9245453,1.10E+02
7.2,0.00050495,0.000118017,504.95,118.0171967,1.10E+02
7.22,0.00050048,0.000129461,500.48,129.4612885,1.10E+02
7.24,0.00050104,0.000133753,501.04,133.7528229,1.10E+02
7.26,0.00050055,0.000148058,500.55,148.0579376,1.10E+02
7.28,0.00050006,0.000124216,500.06,124.2160797,1.10E+02
7.3,0.00049957,0.000118017,499.57,118.0171967,1.10E+02
7.32,0.00050041,0.000122547,500.41,122.5471497,1.10E+02
7.34,0.00050027,0.000127554,500.27,127.5539398,1.10E+02
7.36,0.00049929,0.000126362,499.29,126.3618469,1.10E+02
7.38,0.00050013,0.000130177,500.13,130.1765442,1.10E+02
7.4,0.00050104,0.000121593,501.04,121.5934753,1.10E+02
7.42,0.00050013,0.000131845,500.13,131.8454742,1.10E+02
7.44,0.00050083,0.000129461,500.83,129.4612885,1.10E+02
7.46,0.00050118,0.000141621,501.18,141.620636,1.10E+02
7.48,0.00050034,0.000126362,500.34,126.3618469,1.10E+02
7.5,0.00050069,0.000130415,500.69,130.4149628,1.10E+02
7.52,0.00050572,0.00012517,505.72,125.169754,1.10E+02
7.54,0.0005002,0.000168085,500.2,168.0850983,1.10E+02
7.56,0.00050027,0.000150919,500.27,150.9189606,1.10E+02
7.58,0.00049992,0.000138521,499.92,138.5211945,1.10E+02
7.6,0.00050027,0.000128508,500.27,128.5076141,1.10E+02
7.62,0.00050544,0.000129223,505.44,129.2228699,1.10E+02
7.64,0.00050013,0.000139952,500.13,139.9517059,1.10E+02
7.66,0.00049985,0.00012517,499.85,125.169754,1.10E+02
7.68,0.00049999,0.000120878,499.99,120.8782196,1.10E+02
7.7,0.0005002,0.000122786,500.2,122.7855682,1.10E+02
7.72,0.00050586,0.000129938,505.86,129.9381256,1.10E+02
7.74,0.00049929,0.000149965,499.29,149.9652863,1.10E+02
7.76,0.00050097,0.000138521,500.97,138.5211945,1.10E+02
7.78,0.00049936,0.000147581,499.36,147.5811005,1.10E+02
7.8,0.00050076,0.000155449,500.76,155.4489136,1.10E+02
7.82,0.00050586,0.000142097,505.86,142.0974731,1.10E+02
7.84,0.00049902,0.000124931,499.02,124.9313354,1.10E+02
7.86,0.00050034,0.000132322,500.34,132.3223114,1.10E+02
7.88,0.00049964,0.000124454,499.64,124.4544983,1.10E+02
7.9,0.00049958,0.000162125,499.58,162.1246338,1.10E+02
7.92,0.00049951,0.000147104,499.51,147.1042633,1.10E+02
7.94,0.00050048,0.000148296,500.48,148.2963562,1.10E+02
7.96,0.0005002,0.00014019,500.2,140.1901245,1.10E+02
7.98,0.00050055,0.000163078,500.55,163.0783081,1.10E+02
8,0.00049936,0.000136137,499.36,136.1370087,1.10E+02
8.02,0.00050118,0.000122547,501.18,122.5471497,1.10E+02
8.04,0.00050495,0.000116825,504.95,116.8251038,1.10E+02
8.06,0.0005002,0.0001297,500.2,129.699707,1.10E+02
8.08,0.00050069,0.000120401,500.69,120.4013824,1.10E+02
8.1,0.00049867,0.000127077,498.67,127.0771027,1.10E+02
8.12,0.00050104,0.000140905,501.04,140.9053802,1.10E+02
8.14,0.00050698,0.000125885,506.98,125.8850098,1.10E+02
8.16,0.00050083,0.000141621,500.83,141.620636,1.10E+02
8.18,0.0005002,0.000150442,500.2,150.4421234,1.10E+02
8.2,0.0005009,0.000139713,500.9,139.7132874,1.10E+02
8.22,0.00050062,0.000147581,500.62,147.5811005,1.10E+02
8.24,0.00050502,0.000148296,505.02,148.2963562,1.10E+02
8.26,0.00050104,0.000120401,501.04,120.4013824,1.10E+02
8.28,0.00050153,0.000122786,501.53,122.7855682,1.10E+02
8.3,0.00050055,0.000118494,500.55,118.4940338,1.10E+02
8.32,0.00050125,0.000121355,501.25,121.3550568,1.10E+02
8.34,0.00049999,0.000140429,499.99,140.4285431,1.10E+02
8.36,0.00050027,0.000110626,500.27,110.6262207,1.10E+02
8.38,0.00050013,0.000122309,500.13,122.3087311,1.10E+02
8.4,0.0005016,0.000112295,501.6,112.2951508,1.10E+02
8.42,0.00050118,0.000142813,501.18,142.8127289,1.10E+02
8.44,0.00049916,0.000126839,499.16,126.8386841,1.10E+02
